question,answer,context,start_pos
 What is a fundamental tool in language processing?,the regular expression,"This chapter introduced a fundamental tool in language processing, the regular expression, and showed how to perform basic text normalization tasks including word segmentation and normalization, sentence segmentation, and stemming. We also introduced the important minimum edit distance algorithm for comparing strings. Here's a summary of the main points we covered about these ideas:",67
 What did this chapter show how to perform?,basic text normalization tasks,"This chapter introduced a fundamental tool in language processing, the regular expression, and showed how to perform basic text normalization tasks including word segmentation and normalization, sentence segmentation, and stemming. We also introduced the important minimum edit distance algorithm for comparing strings. Here's a summary of the main points we covered about these ideas:",117
 What is comparing strings?,minimum edit distance algorithm,"This chapter introduced a fundamental tool in language processing, the regular expression, and showed how to perform basic text normalization tasks including word segmentation and normalization, sentence segmentation, and stemming. We also introduced the important minimum edit distance algorithm for comparing strings. Here's a summary of the main points we covered about these ideas:",265
 What are the main points we covered about these ideas?,a summary,"This chapter introduced a fundamental tool in language processing, the regular expression, and showed how to perform basic text normalization tasks including word segmentation and normalization, sentence segmentation, and stemming. We also introduced the important minimum edit distance algorithm for comparing strings. Here's a summary of the main points we covered about these ideas:",327
 What is a powerful tool for pattern-matching?,The regular expression language,The regular expression language is a powerful tool for pattern-matching.,0
 What are some basic operations in regular expressions?,"concatenation of symbols, disjunction of symbols ([], |, and .), counters (*, +, and {n,m}), anchors (ˆ, $) and precedence operators","Basic operations in regular expressions include concatenation of symbols, disjunction of symbols ([], |, and .), counters (*, +, and {n,m}), anchors (ˆ, $) and precedence operators ((,) ).",48
 Word tokenization and normalization are usually done by cascades of what?,simple regular expression substitutions or finite automata,Word tokenization and normalization are generally done by cascades of simple regular expression substitutions or finite automata.,70
 What is a simple and efficient way to do stemming?,The Porter algorithm,"The Porter algorithm is a simple and efficient way to do stemming, stripping off affixes. It does not have high accuracy but may be useful for some tasks.",0
 What does the Porter algorithm strip off?,affixes,"The Porter algorithm is a simple and efficient way to do stemming, stripping off affixes. It does not have high accuracy but may be useful for some tasks.",81
 What is the minimum edit distance between two strings?,the minimum number of operations it takes to edit one into the other,"The minimum edit distance between two strings is the minimum number of operations it takes to edit one into the other. Minimum edit distance can be computed by dynamic programming, which also results in an alignment of the two strings.",49
 What can be computed by dynamic programming?,Minimum edit distance,"The minimum edit distance between two strings is the minimum number of operations it takes to edit one into the other. Minimum edit distance can be computed by dynamic programming, which also results in an alignment of the two strings.",119
 What is one of the most widely used tools in language processing?,n-gram,"This chapter introduced language modeling and the n-gram, one of the most widely used tools in language processing.",50
 Language models offer a way to assign a probability to a sentence or other sequence of words?,to predict a word from preceding words,"Language models offer a way to assign a probability to a sentence or other sequence of words, and to predict a word from preceding words.",98
 What are Markov models that estimate words from a fixed window of previous words?,n-grams,n-grams are Markov models that estimate words from a fixed window of previous words. n-gram probabilities can be estimated by counting in a corpus and normalizing (the maximum likelihood estimate).,0
 How can n-gram probabilities be estimated?,by counting in a corpus and normalizing,n-grams are Markov models that estimate words from a fixed window of previous words. n-gram probabilities can be estimated by counting in a corpus and normalizing (the maximum likelihood estimate).,123
 What are n-gram language models evaluated extrinsically in some task?,intrinsically using perplexity,"n-gram language models are evaluated extrinsically in some task, or intrinsically using perplexity.",68
 What is the perplexity of a test set according to a language model?,the geometric mean of the inverse test set probability computed by the model,The perplexity of a test set according to a language model is the geometric mean of the inverse test set probability computed by the model.,62
 The geometric mean of the inverse test set probability computed by the model is what?,The perplexity,The perplexity of a test set according to a language model is the geometric mean of the inverse test set probability computed by the model.,0
 Smoothing algorithms provide a more sophisticated way to estimate the probability of what?,n-grams,Smoothing algorithms provide a more sophisticated way to estimate the probability of n-grams. Commonly used smoothing algorithms for n-grams rely on lower-order n-gram counts through backoff or interpolation.,85
 Commonly used smoothing algorithms rely on lower-order n-gram counts through backoff or what else?,interpolation,Smoothing algorithms provide a more sophisticated way to estimate the probability of n-grams. Commonly used smoothing algorithms for n-grams rely on lower-order n-gram counts through backoff or interpolation.,194
 What do both backoff and interpolation require to create a probability distribution?,discounting,Both backoff and interpolation require discounting to create a probability distribution.,39
 What mix a discounted probability with a lower-order continuation probability?,interpolated Kneser-Ney smoothing algorithm,Kneser-Ney smoothing makes use of the probability of a word being a novel continuation. The interpolated Kneser-Ney smoothing algorithm mixes a discounted probability with a lower-order continuation probability.,92
 What model was introduced in this chapter?,Bayes model for classification,This chapter introduced the naive Bayes model for classification and applied it to the text categorization task of sentiment analysis.,34
 What task did this chapter apply the Bayes model to?,text categorization task of sentiment analysis,This chapter introduced the naive Bayes model for classification and applied it to the text categorization task of sentiment analysis.,87
 Many language processing tasks can be viewed as tasks of what?,classification,Many language processing tasks can be viewed as tasks of classification.,57
 Text categorization assigns an entire text a class from a finite set of what?,"sentiment analysis, spam detection, language identification, and authorship attribution","Text categorization, in which an entire text is assigned a class from a finite set, includes such tasks as sentiment analysis, spam detection, language identification, and authorship attribution.",107
 What are some of the tasks that text categorisation includes?,"sentiment analysis, spam detection, language identification, and authorship attribution","Text categorization, in which an entire text is assigned a class from a finite set, includes such tasks as sentiment analysis, spam detection, language identification, and authorship attribution.",107
 What classifies a text as reflecting the positive or negative orientation that a writer expresses toward some object?,Sentiment analysis,Sentiment analysis classifies a text as reflecting the positive or negative orientation (sentiment) that a writer expresses toward some object.,0
 What is Naive Bayes a generative model that makes the bag of words assumption?,position doesn't matter,Naive Bayes is a generative model that makes the bag of words assumption (position doesn't matter) and the conditional independence assumption (words are conditionally independent of each other given the class),74
 What is the conditional independence assumption made?,words are conditionally independent of each other given the class,Naive Bayes is a generative model that makes the bag of words assumption (position doesn't matter) and the conditional independence assumption (words are conditionally independent of each other given the class),144
 How are words conditionally independent of each other?,given the class,Naive Bayes is a generative model that makes the bag of words assumption (position doesn't matter) and the conditional independence assumption (words are conditionally independent of each other given the class),194
 Naive Bayes with binarized features seems to work better for what?,many text classification tasks,Naive Bayes with binarized features seems to work better for many text classification tasks.,61
 What are classifiers evaluated based on?,precision and recall,Classifiers are evaluated based on precision and recall.,35
 How are classifiers trained?,"using distinct training, dev, and test sets","Classifiers are trained using distinct training, dev, and test sets, including the use of cross-validation in the training set.",24
 What type of training is included in the training set?,cross-validation,"Classifiers are trained using distinct training, dev, and test sets, including the use of cross-validation in the training set.",90
 What should be used to determine if one version of a classifier is better than another?,Statistical significance tests,Statistical significance tests should be used to determine whether we can be confident that one version of a classifier is better than another.,0
